Index,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
2029,61577665.87,36989997.9,444284507.6,124316182.5,89806516.08,36888949.72,24430029.67,114094141.5,256182083.3,548569261.9,82265407.11,317203710.2,2003723444,245586392.1,111003215,120628847.4,46663897.74,187916323.1,66944996.54,105002666.2,66005464.14,129292677,110593914.2,121512851,208563938.5,124780108.7
2030,61954696.59,38082875.47,446687407,124384462.5,90602497.48,37501396.96,25023716.25,115350415.8,261412008.3,568169876.2,82337453.79,317530011.8,2024966692,251445342,114396266.4,119507982.5,46749948.37,191838823.2,68644094.3,106968645.1,67479944.43,130403992.3,112741174.2,124837116.9,216026761.9,130230628.3
2031,62048069.64,38506636.98,449511117.4,123086371.1,90107953.18,35689889.73,25539188.33,115377429.3,266252511.9,585742207.1,82122956.52,314621275,2087042749,257300629.5,114744124.8,118468472.2,46710262.89,193260942.3,69128619.46,105903799.2,68170503.86,127107873.5,113391184,124798486.8,220000319.3,135384868
2032,63245590.91,38572865.42,454618683.2,121490536.4,88955841.99,33024294.54,25828385.4,113576219.2,266863510.9,601698494.3,81198853.68,311679690.8,2116581231,260654420.9,113018147.5,117109985.2,46685801.5,194694739,69614413.71,104556200.1,68934618.66,121530984.5,113472605.4,123972088.9,223031207.9,140933907.5
2033,64415330.14,38834595.29,459941793.9,119980404.5,87816236.48,30129862.56,26106214.13,112119295.9,267462800.5,616421725.2,80201176.79,309665250.6,2142814739,263659553.9,111114966.9,115957616.3,46744689.54,196141777.8,70075293.84,103082610.3,69600994.01,116051414.1,113518756.2,123069830.9,225614451.9,147210406.2
2034,65574815.45,39548810.06,462268022.1,118727885,87851014.67,29242215.68,26307281.19,110702103.5,266354462.5,634850505,78843428.66,309575641.3,2112166153,265737226,111447159.8,114073450.9,46960874.68,199631005.6,71587165.38,103942821.1,70500116.43,114194075.9,114547459.5,124524860.1,230695612.9,154434154.6
2035,65796826.87,41035708.39,464108730.1,118619882.3,88696511.71,29119703.99,26797840.45,111982445.4,270496812.5,654001033.4,78396315.98,311493105.1,2121636526,270643169.4,114429747.7,113042713.1,47361042.32,203749024.1,73408745.03,105196188.1,71406627.94,115281797.9,116354644,127384840.9,237513749.6,162623231.5
2036,66161985.33,42671392.88,466055179.3,118524034.5,89580894.63,31502841.48,27303856.4,113631614.9,274541555.6,672924848.3,77866197.35,313840459,2130125175,275839643.9,117574029.2,112152667.7,47873056.16,208211204.3,75334867.84,106551641.6,72333037.57,118086459.2,118085795.8,130571378.7,244627736.5,171669408.7
2037,66483525,43815017.56,469096267.2,117099828.2,90253366.98,33764246.51,27478503.09,112607326.4,275234291.2,689707204.6,76658340.71,315492388.7,2118715720,279873113.2,118377007.5,111136158.4,48297823.33,213213989.2,78424271.92,107470712.4,73254393.14,120227706.6,119355110.7,131951964.1,251151201.7,181483846.1
2038,66782650.16,44904419.64,471769049.9,115694953.2,90868103.34,36415319.11,27615310.87,111190627.4,275639809.7,707456999.1,75451631.36,316919479.3,2107469277,284260387,118971497.1,110283217,48703018.12,218395538.9,81623085.32,108389965.5,74233396.12,122400556.6,120704524.1,133134375.4,257747546.7,191363053.6
