type,years,Canada,US,Mexico,Rest C.Am.,Brazil,Rest S.Am.,N.Africa,W.Africa,E.Africa,South Africa,W.Europe,C.Europe,Turkey,Ukraine,Stan,Russia,M.East,India,Korea,China,SE.Asia,Indonesia,Japan,Oceania,Rest S.Asia,Rest S.Africa
aboveground,2021,100092.28128229166,512574.8469489235,70895.5453570875,13856.338943801864,184216.95618614837,116722.93569334688,118335.88590923943,45690.631683277075,37087.00848126717,49251.89594619647,340855.3087976114,107550.59612249662,56014.87593434545,69944.67185648788,44664.24546240141,201618.1621868988,173357.71552183598,479407.44110779616,13895.60790741725,762966.8470609193,90529.66036288167,37539.259377183786,39463.896457988456,78097.7846319438,53839.94168126901,45747.18894859995
aboveground,2022,99288.04436598107,518865.9907718788,72769.6038860537,14192.16118452813,190805.97723056114,117481.19660954285,119070.65289501085,46940.543896960815,38650.85756117426,49496.63467262344,343277.3652228037,109158.64697932116,58234.23390741422,71018.27868261338,46300.834588161124,206603.8377891133,173723.48460827445,538127.0862087106,14459.84055447758,797595.1718430341,92796.66376880444,39228.72312039023,39754.56571561767,80193.3360825721,56140.63619288768,46125.318277089966
aboveground,2023,98512.68760046734,518600.550852042,73636.17553446464,14643.827631292788,195223.03196789796,118635.18637345317,119227.99856491674,49128.16061493981,41824.53953007411,50501.51615077281,343593.4525905795,109043.58104538708,65215.19909246235,71116.35804993188,47766.63284144694,211588.8911538351,175023.4640427956,552790.0494339068,14760.821650210828,837382.0272624542,95031.92543124284,40400.622766851804,39949.231546276125,82379.93784627828,57537.62191040771,47149.6041443302
aboveground,2024,98023.91442413682,515044.24485125794,74065.09641661769,15151.894482221049,201244.13860213375,120657.19632275117,118693.86386285735,52064.576490199855,46535.02624396754,51306.71601417929,342784.48828000814,108835.22201921402,65024.48264176376,70791.20329700415,50120.69053973651,216048.29121436982,178282.9914486075,559158.1924558958,14575.5639470961,855666.5091035434,98250.3837003611,41887.88283504419,39655.11190112817,82606.0908716551,59743.86869269424,48900.91850681731
aboveground,2025,97955.29532755013,513100.804786205,74532.03601960548,15731.30242184857,205471.42352595253,123003.19424261358,118674.90847667523,56221.56392336844,52232.49402722008,52469.71935962675,342371.99397064006,108070.38222032334,65185.85406612574,71189.38363317157,52599.789556819705,221428.02435818655,181334.19703899088,566747.3833383706,13993.109136343914,890327.7862595806,101631.92695445484,43548.290647536945,39286.13370718442,86638.66359854932,62421.93492630648,51352.763490187055
aboveground,2026,98460.60424040063,513260.0580846448,76873.47707008118,16467.937011417012,209697.1428216737,126339.7299448264,119357.57656283506,61395.52722986125,60229.81589144037,53991.66464932468,342138.45510981616,107494.3635739694,66628.09003453526,71605.48143159838,55873.2653585753,225994.10189846437,185097.6851392231,568070.2909799409,13284.856266219163,931460.5555404347,105315.20371672894,45313.25268349975,39698.098995124696,87131.4133437288,65925.50195022047,54200.64713484924
aboveground,2027,99227.81795564722,516928.4902428626,79774.24284087133,17396.097769053216,213886.68423068957,129434.53222004879,120709.84634799868,67646.24058296329,71186.10603274831,55815.940615034015,342437.0519447434,107522.11112493367,68205.06738570127,72085.48629339592,57747.49403086924,225460.07577009875,189744.3218482399,613323.9302539882,13353.237603608446,968988.154186751,110089.03809802342,47979.786676555,39364.40199047301,87766.50007281649,69578.06787150385,57348.93067066405
aboveground,2028,100417.88428213584,525049.7898779379,84042.43599695215,18277.656266657024,220264.63770053387,132698.02534068274,123050.67485568463,74199.31064860825,82672.67440665337,58061.42215693294,348321.44474739867,108992.65634445362,69389.358710335,72191.88106330045,60079.09962450249,224367.24359476203,194971.09827643342,631879.8287931696,14083.689718663038,1002295.1282131099,116148.06771182225,51152.261189393896,39356.791636640184,87758.51300807441,75723.06079398408,60567.65241503797
aboveground,2029,101900.70325578551,538332.73598184,88521.52541170234,19045.234169849795,225157.84698997956,135992.6610270866,126805.07257415922,81493.81529881064,95493.21198210206,61480.90161809266,358358.8595366686,111085.25045384753,70718.01150261583,72100.46214376809,61980.86416356942,221495.30438334242,199962.809445986,658525.8298477912,14981.865731846492,1033621.600349854,121061.4895172176,54537.81119836281,38776.21739789783,88405.57032371423,82317.6654650348,64100.7484842375
aboveground,2030,103349.18066120216,557571.438368604,93082.40236899369,20175.378668898382,231265.20750041763,140736.34771233815,130837.22670133975,88926.85957641143,109346.58445010969,65196.45997305933,373527.10958074057,114664.3924394933,72857.6333990325,72048.18482169531,64168.46176454043,221886.33696864633,206033.0521459616,699115.2970704986,18473.381155164374,1061830.3118713938,126950.62006517129,58853.77107500038,38306.18808348959,89630.71234780324,89858.86118329619,67649.16577877538
