! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trp_trvl_pkm.out;;;;;;;;;
real main.em.dem.trp.trvl.ProjT.pkm_global_tot[28,8](t) = [;;;;;;;;;
unit=tera pkm;;conversion factor =1000;;;;;;;
;;walking;cycling;bus;train;car;highspeed train;plane;total
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8
1976;15;0.01309381;0.005611635;0.1084407;0.2118448;0.04254491;0;0.02777378;0.4093096
1976;16;0.07465142;0.03199346;0.6104859;1.193884;0.2521826;0;0.1703893;2.333586
1976;17;0.01076527;0.004613687;0.1061575;0.000370738;0.1118645;0;0.06369367;0.2974653
1976;18;0.05305236;0.02273672;0.112983;0.5647121;0.06573295;0;0.01271541;0.8319325
1976;19;0.00168235;0.000721007;0.02488173;0.002804172;0.02256178;0;0.004983412;0.05763445
1976;20;0.04392847;0.0188265;0.2624045;1.067733;0.0977895;0;0.01423313;1.504915
1976;21;0.00951995;0.00407998;0.0961315;0;0.07729382;0;0.02188302;0.2089083
1976;22;0.003856359;0.001652726;0.03990599;0.0023822;0.0316404;0;0.005187286;0.08462496
1976;23;0.0346199;0.01483709;0.3887852;0.1628212;0.5534645;0;0.03149072;1.186019
1976;24;0.00246347;0.001055773;0.04022852;0.02105128;0.2547543;0;0.01883549;0.3383888
1976;25;0.00468721;0.002008804;0.03050124;0.010587;0.01824417;0;0.007473381;0.0735018
1976;26;0.007179323;0.003076853;0.02950674;0.0129028;0.006469025;0;0.003941376;0.06307612
1976;27;0;0;0;0;0;0;0;0
1976;28;0.5834585;0.2500536;4.160768;5.415041;9.435579;0;1.290724;21.13563
1977;1;0.004375694;0.001875299;0.0638523;0.04488729;0.4520561;0;0.03401027;0.601057
1977;2;0.03825475;0.0163949;0.7212826;0.3596835;3.597889;0;0.5212687;5.254773
1977;3;0.006191964;0.0026537;0.07464272;0.004223061;0.08870236;0;0.01099431;0.1874081
1977;4;0.003500679;0.001500291;0.04091036;0.000775916;0.04824331;0;0.0110222;0.1059528
1977;5;0.01535083;0.006578927;0.1472014;0.02249095;0.2543263;0;0.01866491;0.4646133
1977;6;0.01431448;0.006134779;0.1741949;0.01976478;0.1991456;0;0.01969258;0.4332471
1977;7;0.004399127;0.001885341;0.04835396;0.007412104;0.04493815;0;0.01456778;0.1215565
1977;8;0.01901387;0.008148801;0.1039669;0.002547119;0.02164217;0;0.0117332;0.1670521
1977;9;0.007726441;0.003311333;0.03943815;0.002551093;0.007566004;0;0.007289963;0.06788298
1977;10;0.03403215;0.01458521;0.107906;0.09147778;0.04398357;0;0.007015006;0.2989998
1977;11;0.1247671;0.05347161;0.6428757;0.6180906;2.621634;0;0.2134701;4.274309
1977;12;0.02865676;0.01228147;0.1402218;0.438888;0.3389531;0;0.02273088;0.9817321
1977;13;0.00843046;0.003613054;0.03913157;0.05636616;0.123306;0;0.002102695;0.23295
1977;14;0.01983174;0.008499319;0.06876162;0.4301362;0.09111618;0;0.06105669;0.6794018
1977;15;0.01323181;0.005670774;0.109761;0.2124476;0.04394487;0;0.02856732;0.4136233
1977;16;0.07533086;0.03228466;0.6162121;1.19576;0.259981;0;0.1752575;2.354826
1977;17;0.01313573;0.005629599;0.1252607;0.000417821;0.1358572;0;0.08266462;0.3629657
1977;18;0.05339159;0.02288212;0.1203164;0.5552977;0.07151864;0;0.01384597;0.8372524
1977;19;0.001943597;0.000832971;0.0293751;0.002313941;0.0259189;0;0.006199856;0.06658436
1977;20;0.04883009;0.02092718;0.2827957;1.195875;0.1086702;0;0.01573803;1.672836
1977;21;0.009836761;0.004215755;0.09766256;0;0.08127338;0;0.02287201;0.2158605
1977;22;0.004174603;0.001789115;0.04291277;0.002354911;0.03529845;0;0.005078741;0.09160858
1977;23;0.03532306;0.01513846;0.406393;0.1659322;0.5539359;0;0.03338562;1.210108
1977;24;0.002482484;0.001063921;0.04255652;0.02134087;0.2541085;0;0.019448;0.3410003
1977;25;0.004949544;0.002121234;0.03199864;0.01137818;0.01951078;0;0.007657178;0.07761557
