time,sector,unit,technology,material,min,max
2020,vehicles,fraction,midi_bus - BEV,plastics,0.13419,0.16401
2020,vehicles,fraction,midi_bus - BEV,rubber,0.02358,0.02882
2020,vehicles,fraction,midi_bus - BEV,steel,0.28683,0.35057
2020,vehicles,fraction,midi_bus - BEV,titanium,0.0,0.0
2020,vehicles,fraction,midi_bus - BEV,wood,0.0,0.0
2020,vehicles,fraction,midi_bus - FCV,aluminium,0.32868,0.40172
2020,vehicles,fraction,midi_bus - FCV,cobalt,0.0,0.0
2020,vehicles,fraction,midi_bus - FCV,copper,0.00225,0.00275
2020,vehicles,fraction,midi_bus - FCV,glass,0.04104,0.05016
2020,vehicles,fraction,midi_bus - FCV,lead,0.0,0.0
2020,vehicles,fraction,midi_bus - FCV,lithium,0.0,0.0
2020,vehicles,fraction,midi_bus - FCV,manganese,0.0,0.0
2020,vehicles,fraction,midi_bus - FCV,neodymium,0.0,0.0
2020,vehicles,fraction,midi_bus - FCV,nickel,0.0,0.0
2020,vehicles,fraction,midi_bus - FCV,plastics,0.13419,0.16401
2020,vehicles,fraction,midi_bus - FCV,rubber,0.02358,0.02882
2020,vehicles,fraction,midi_bus - FCV,steel,0.28683,0.35057
2020,vehicles,fraction,midi_bus - FCV,titanium,0.0,0.0
2020,vehicles,fraction,midi_bus - FCV,wood,0.0,0.0
2020,vehicles,fraction,midi_bus - HEV,aluminium,0.32868,0.40172
2020,vehicles,fraction,midi_bus - HEV,cobalt,0.0,0.0
2020,vehicles,fraction,midi_bus - HEV,copper,0.00225,0.00275
2020,vehicles,fraction,midi_bus - HEV,glass,0.04104,0.05016
2020,vehicles,fraction,midi_bus - HEV,lead,0.0,0.0
2020,vehicles,fraction,midi_bus - HEV,lithium,0.0,0.0
2020,vehicles,fraction,midi_bus - HEV,manganese,0.0,0.0
2020,vehicles,fraction,midi_bus - HEV,neodymium,0.0,0.0
2020,vehicles,fraction,midi_bus - HEV,nickel,0.0,0.0
2020,vehicles,fraction,midi_bus - HEV,plastics,0.13419,0.16401
2020,vehicles,fraction,midi_bus - HEV,rubber,0.02358,0.02882
2020,vehicles,fraction,midi_bus - HEV,steel,0.28683,0.35057
2020,vehicles,fraction,midi_bus - HEV,titanium,0.0,0.0
2020,vehicles,fraction,midi_bus - HEV,wood,0.0,0.0
2020,vehicles,fraction,midi_bus - ICE,aluminium,0.32868,0.40172
2020,vehicles,fraction,midi_bus - ICE,cobalt,0.0,0.0
2020,vehicles,fraction,midi_bus - ICE,copper,0.00225,0.00275
2020,vehicles,fraction,midi_bus - ICE,glass,0.04104,0.05016
2020,vehicles,fraction,midi_bus - ICE,lead,0.0,0.0
2020,vehicles,fraction,midi_bus - ICE,lithium,0.0,0.0
2020,vehicles,fraction,midi_bus - ICE,manganese,0.0,0.0
2020,vehicles,fraction,midi_bus - ICE,neodymium,0.0,0.0
2020,vehicles,fraction,midi_bus - ICE,nickel,0.0,0.0
2020,vehicles,fraction,midi_bus - ICE,plastics,0.13419,0.16401
2020,vehicles,fraction,midi_bus - ICE,rubber,0.02358,0.02882
2020,vehicles,fraction,midi_bus - ICE,steel,0.28683,0.35057
2020,vehicles,fraction,midi_bus - ICE,titanium,0.0,0.0
2020,vehicles,fraction,midi_bus - ICE,wood,0.0,0.0
2020,vehicles,fraction,midi_bus - PHEV,aluminium,0.32868,0.40172
2020,vehicles,fraction,midi_bus - PHEV,cobalt,0.0,0.0
2020,vehicles,fraction,midi_bus - PHEV,copper,0.00225,0.00275
2020,vehicles,fraction,midi_bus - PHEV,glass,0.04104,0.05016
2020,vehicles,fraction,midi_bus - PHEV,lead,0.0,0.0
2020,vehicles,fraction,midi_bus - PHEV,lithium,0.0,0.0
2020,vehicles,fraction,midi_bus - PHEV,manganese,0.0,0.0
2020,vehicles,fraction,midi_bus - PHEV,neodymium,0.0,0.0
