Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
2008,126724.5404,831260.064,128350.5047,45668.09387,346146.5978,275195.7583,116510.7239,121505.924,66467.70659,26159.36308,896406.5121,267238.7935,43816.20236,67249.85987,37137.99234,338780.8964,278974.5701,424466.0842,165934.0423,970074.9446,161410.6107,105863.1087,233095.8752,121616.7915,92579.90805,44327.05394
2009,175257.248,751859.7768,40831.53364,44134.13224,247233.4727,234138.9581,229762.5543,171070.9034,87874.18519,26469.5447,597908.5174,79096.34149,28958.71668,3468.512731,30144.47797,84915.46204,878212.3696,481324.0648,85872.12094,1140222.326,209226.777,169214.2254,174386.8741,75702.56414,114244.825,69675.07138
2010,177307.1828,1562085.134,138027.3196,53739.00742,457539.0559,179279.4981,123932.5341,149035.8092,90722.88254,61196.83439,1205666.692,153089.0118,98959.2666,21862.48537,41956.54229,146102.3091,232155.152,488981.8768,196115.5721,1266495.706,271523.3306,280845.8851,408921.4808,154682.6599,113792.3447,36133.43275
2011,175593.1764,1056441.679,129172.7771,53173.92664,353547.6404,317783.4901,84019.31445,124154.9954,74650.40362,67836.00097,1285183.807,145357.2144,176772.6448,47173.43104,45774.49678,248352.6427,147027.4386,497365.3304,160967.7158,1456230.064,221951.7878,284918.2636,456401.2404,110334.5827,115148.1706,45012.08385
2012,201744.1693,1435606.374,162130.3644,65343.47025,399215.7132,370059.9534,207464.6896,158381.9857,73365.14577,59499.77268,903387.4587,206787.9083,216639.2002,39335.06601,68060.18797,277702.2407,370667.498,534316.1831,180444.5237,1647153.317,334665.187,354122.7492,474490.1345,160712.2164,140145.0182,61267.38806
2013,249790.5177,1757612.758,176725.3337,68772.74821,440968.5595,339766.513,138225.0446,240750.1657,76819.27224,68866.72205,1320983.181,207014.2938,252646.6959,50585.44556,66797.79368,285904.3229,391366.1346,536310.1416,215410.7707,1892484.616,386644.1914,305515.1195,552121.1057,181496.4808,130770.8226,64935.22597
2014,248513.7818,1815099.198,161419.948,75824.14309,403543.6766,268881.2888,185649.9513,199712.7283,83888.06239,44301.48661,1947015.634,279933.0153,201287.5713,10006.04133,59786.52413,207207.2463,678212.3236,679774.7657,236803.7562,2004253.954,345447.4482,319428.9442,411749.893,171348.1449,150783.8805,66462.37821
2015,313976.9563,2420045.806,234621.5356,115306.0608,280776.181,216117.3668,217673.5261,216132.3607,94942.69467,63696.23191,2123224.978,408338.5157,348513.2383,14538.7866,68054.52507,100642.2967,1513721.608,806651.4023,273215.7218,2749659.343,429077.1381,187607.4601,543924.5709,221481.3973,178558.7876,65915.47643
2016,317015.5002,2337188.878,216559.8302,92087.74401,190708.7582,203557.4066,217961.4796,170435.792,92915.12032,37561.24558,2307122.5,489347.8742,290872.6573,24549.73346,45306.86902,113184.1478,731506.6077,780322.7252,272330.7232,2584186.614,460525.0602,362368.3583,596027.0201,243114.2466,190835.4114,47990.35571
2017,389752.6543,2211932.279,108274.7823,83549.09325,322866.2031,165110.6826,111580.8594,108916.5657,83154.66244,69869.62944,2414788.549,661666.5381,339094.2374,27599.53827,45655.31282,169334.6144,209488.1005,786052.5729,272767.2377,2462970.797,428660.0511,265463.1046,654270.9449,207091.5668,185618.6809,47982.58778
2018,396794.9437,2345611.257,141914.5137,86473.53941,367186.8088,121161.4883,80677.15758,126486.2787,85708.92418,60526.15983,2349145.782,589485.389,263094.9552,30104.24656,70269.95546,168133.2813,141143.348,860035.9226,319519.6743,3085053.232,421704.0729,426595.6131,595085.3165,242458.2383,169254.3277,47870.84325
2019,313602.2481,2189256.014,130248.885,102060.9511,548428.0289,118939.0567,111913.7885,145900.7914,87555.6054,35900.24388,2369205.317,606228.4693,283644.306,62663.12462,61212.52509,257217.387,230413.4866,755427.8959,411525.3372,2900615.931,492470.6353,424597.5426,520738.97,199769.1802,149945.1413,54476.12491
2020,19459.17102,565843.044,11419.62345,6314.022087,175309.4526,1670.144541,81148.14599,85540.50139,61090.54165,3872.219336,193126.543,196177.6076,131555.4164,11749.26339,44539.83783,108712.1102,169081.3566,91860.42846,97208.43862,1265937.243,29719.92609,157400.0604,175204.8717,90310.08186,123300.4093,32356.20701
2021,315484.9894,2785639.619,27599.66993,97268.2378,504509.5244,126902.623,238441.8871,144931.5449,99709.73527,35235.14975,2708338.232,697783.8279,653062.2032,56526.26908,71508.7065,451779.828,536427.6445,544933.6726,339285.9066,4245961.08,72068.13805,299214.3035,468479.4309,220588.7344,209280.7941,68212.31634
2022,523274.2861,2114559.155,346963.3555,93210.69457,258199.3051,489623.6752,262182.5138,217746.6763,95722.69045,83234.20344,2640376.394,325881.8406,210323.1125,709.2991701,54592.95535,73492.37438,1282439.321,1056138.739,222847.6093,1744872.218,629750.0203,310782.705,682736.9769,263755.1336,185279.1007,69825.92592
2023,278968.3398,2000611.387,200615.1712,86031.6057,430425.6972,164024.456,223438.1314,184585.4316,66939.19384,38935.09526,1682700.841,277237.6136,217530.0399,2941.068393,63908.54389,207640.0472,396175.1569,879411.7577,214015.2401,2890450.134,364921.8222,347886.4084,535888.3456,166722.6702,135668.4922,60185.21271
2024,314364.1068,2076461.127,174852.4534,99470.31478,343325.0178,269742.1752,206967.1458,194848.2055,91863.893,68808.91738,1905544.062,437670.8331,245947.103,10066.63721,68745.39101,179328.3862,635075.6334,1219795.811,270082.8223,2777833.543,443329.015,428727.4336,485102.4891,159663.9482,191890.2301,66237.21598
2025,362803.7739,2305229.771,154410.6724,101653.2787,386373.2512,282920.9498,227372.7152,202273.8412,110987.4016,53591.06449,2143098.589,489779.1046,257754.4837,11366.65688,72904.98202,175594.6355,679898.7052,1059876.829,286598.9772,2759834.234,462136.3541,569354.2696,471200.7861,183970.0173,203374.3685,67552.05776
2026,417838.3133,2603950.702,209210.1554,119033.3564,401444.2655,314436.2897,264798.4788,232748.3979,118878.949,60085.4312,2303208.996,506346.6246,310575.6646,16857.71774,83377.41058,216219.6893,767435.0774,1246595.622,288476.0131,2989784.643,542142.9004,501764.8381,523758.2052,210965.041,259848.1016,79239.29039
2027,459959.4797,2652221.388,201553.3177,127797.3801,436815.4115,327668.57,269303.0312,236269.8364,125880.1691,64117.64061,2469933.226,541186.7465,330883.4439,43337.93036,86904.63497,232079.9208,782074.7174,1385137.102,259620.8982,3267673.861,578071.9017,511626.1931,554683.2919,253118.4968,270526.3506,81222.16253
