,time,BEV,FCV,HEV,ICE,PHEV,Trolley
Medium Freight Trucks,1866,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1867,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1868,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1869,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1870,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1871,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1872,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1873,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1874,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1875,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1876,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1877,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1878,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1879,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1880,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1881,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1882,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1883,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1884,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1885,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1886,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1887,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1888,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1889,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1890,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1891,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1892,0.0,0.0,0.0,0.0,0.0,0.0
